CustomerId,StockId,TotalShares
4910,31,70
3550,45,20
6560,35,20
2812,30,25
3416,14,30
1220,32,5
5089,28,5
893,23,25
3247,21,70
1587,43,30
1499,32,30
4031,20,25
2803,27,25
4254,14,5
6384,42,15
4743,43,5
3091,39,35
3062,20,25
5080,18,25
3755,28,5
5830,8,30
5357,32,20
4982,25,20
2006,29,10
1785,30,5
2872,35,20
3076,31,30
1728,19,40
3039,40,15
1951,55,10
3872,22,10
3101,21,35
2265,46,15
4207,39,85
2715,31,5
2761,40,10
6103,19,5
4399,13,10
3244,22,40
2430,26,40
1317,9,5
2343,48,45
5716,40,5
3523,30,0
4304,25,20
2595,42,0
3235,16,25
5271,19,20
3490,15,25
2239,34,30
2049,47,50
1974,54,5
4791,11,25
3841,50,20
2525,50,0
3750,15,20
2814,17,35
4141,28,60
4767,49,25
6074,31,5
1160,50,10
5110,18,10
3724,40,10
2835,51,25
4842,43,15
2339,19,15
3214,28,5
5985,20,20
3606,39,20
2836,36,25
1979,53,25
3187,26,25
2809,6,5
1760,34,60
5570,44,5
3927,19,25
6213,27,10
166,37,50
1068,33,25
6005,24,10
6338,46,5
6454,37,30
3510,48,15
5114,31,0
5102,53,10
1956,27,5
2130,19,40
2277,37,20
6085,11,5
2304,39,10
4983,27,0
4847,36,10
2297,30,15
1953,24,0
937,35,5
4925,50,0
1682,14,15
4133,46,25
2872,10,35
1712,39,30
2365,36,40
3844,52,5
3784,30,65
6087,22,5
5091,28,10
2633,44,10
3775,49,5
3484,33,10
2297,11,5
3396,12,10
4965,48,5
649,18,5
4595,19,15
674,36,20
1019,26,20
3036,32,30
5712,30,30
5040,18,10
3351,34,5
4798,25,30
2460,36,55
4823,39,50
4822,38,30
753,32,30
5795,47,20
4402,36,20
4237,40,5
2892,51,70
3677,35,50
3083,14,30
5214,45,15
4361,36,15
3765,25,50
4010,47,65
4785,42,5
4872,50,15
5312,39,25
2198,15,15
5417,18,5
4430,34,15
846,8,10
2845,23,0
882,41,35
1459,30,15
5363,9,40
3837,16,10
3470,19,5
2464,16,30
3762,28,10
4810,19,10
5016,24,50
4613,42,5
3002,12,50
3519,13,20
5484,42,5
4745,34,25
2425,37,15
3584,26,5
2336,35,25
4958,45,5
4658,29,40
3929,18,15
3926,43,90
5351,32,35
4031,35,60
5548,29,10
4171,39,5
5723,8,5
3975,28,10
4568,24,30
1165,32,10
1102,34,10
4030,20,10
2327,45,40
2016,23,20
4636,26,15
3319,21,30
2890,13,0
4512,31,10
2349,24,45
3563,21,55
4984,37,10
2968,30,35
3077,53,20
2334,55,5
6280,36,5
3363,36,35
1240,37,15
5777,36,0
2413,30,50
4076,48,15
3384,10,0
4623,40,25
4868,25,15
4295,31,35
4851,35,0
3196,28,25
3472,28,30
3972,10,35
5552,40,10
2011,28,20
2982,35,15
3381,44,10
4528,36,30
2878,12,5
3050,38,35
6210,21,15
3863,27,10
2682,39,20
1537,26,5
3920,42,10
3437,14,5
1891,45,20
2494,11,25
3879,35,20
1521,34,30
5380,45,25
5443,48,0
4017,13,15
3634,46,15
466,34,5
3589,39,5
3403,20,20
3849,42,50
6121,35,0
4837,29,40
1451,40,10
2609,27,30
2849,33,5
2944,33,35
3630,21,60
3635,26,20
4179,27,5
6743,37,15
1875,46,20
1349,36,20
3791,29,5
3239,45,30
3448,20,5
4578,36,20
2578,39,30
3188,13,20
3486,52,40
1942,37,0
1727,38,25
4835,54,25
4586,26,10
5671,38,15
2150,28,25
2437,38,20
1724,28,20
2921,7,15
4890,22,20
2379,43,15
3059,35,20
2225,18,30
4192,10,15
4732,43,30
4985,41,10
4087,34,25
4235,16,20
3609,33,5
4486,47,25
4617,29,10
5619,31,15
2556,29,35
2503,23,30
3159,40,40
5294,35,30
2713,30,25
3477,21,15
3450,25,35
3160,28,10
1247,28,10
3762,33,25
2324,32,45
2172,39,10
2997,38,25
4711,33,15
3711,45,25
4283,28,5
3076,44,15
2758,11,25
4831,21,45
4797,34,20
2429,33,35
2671,26,15
3313,29,70
2363,31,25
5312,17,5
4896,38,50
2103,28,25
4328,28,20
3178,44,10
620,23,0
2633,29,50
3699,27,25
4262,54,15
4147,22,25
5742,32,15
2750,12,10
3018,44,15
5614,44,25
2553,19,5
3491,20,55
4144,52,15
1121,25,30
3266,37,40
5311,40,5
4240,26,30
5769,22,30
3754,38,15
4330,29,10
5922,38,15
1658,30,25
6582,41,30
1736,55,25
4175,38,5
4384,18,30
3081,29,55
3763,45,30
1634,34,5
6140,32,15
3901,15,10
2335,42,55
2952,52,10
3135,27,10
2442,22,10
4682,31,35
5770,15,25
975,52,25
4075,24,55
1770,44,40
1529,6,10
4680,30,35
3992,59,5
4585,42,15
1472,38,55
4111,33,25
926,17,0
4429,38,30
5115,36,25
2100,41,15
3438,13,5
5547,18,5
2250,37,15
2707,35,20
3682,56,5
2004,18,10
944,12,30
5576,30,0
4833,33,10
3580,12,25
2619,18,20
4008,8,35
4473,20,5
1412,22,0
2704,32,15
5112,17,25
3451,41,5
3728,32,90
2590,25,10
4008,30,25
1619,14,5
916,34,35
5161,41,5
3386,48,45
1358,35,5
2653,32,5
2070,35,45
1875,58,40
2024,20,35
3573,46,10
4665,47,5
2397,32,15
4200,39,40
2947,18,5
4847,38,55
2013,37,30
4007,25,5
4667,12,15
2623,35,40
2729,11,30
5025,47,5
2950,16,30
3757,27,70
4232,33,50
5784,17,5
663,30,0
3634,17,35
5475,37,0
1117,37,20
2423,19,25
3709,26,20
2516,51,5
4266,27,20
2984,48,30
3570,31,25
2265,18,35
293,41,5
4145,33,20
3515,17,10
3594,25,20
2442,43,5
4601,19,30
5165,21,10
5256,50,15
2515,38,5
3408,52,10
4427,35,75
5177,50,0
2769,51,35
4455,40,15
5082,49,40
5163,26,45
2956,31,45
4063,32,10
4609,30,55
3644,27,25
439,15,5
5214,27,15
3146,22,5
5251,38,25
6292,41,20
4098,31,30
3681,17,40
4806,37,35
3165,39,5
2519,52,15
6209,33,55
3891,22,65
1531,24,20
5303,26,15
278,22,10
2605,32,45
5456,9,5
3719,19,35
3292,20,5
3862,34,30
5432,28,15
4156,24,10
1919,26,65
3126,25,35
2477,33,20
1835,24,20
2961,24,15
5423,17,15
3152,38,10
4372,11,30
3943,34,40
1095,25,15
2500,35,0
3767,32,30
2356,38,30
1440,57,30
2981,45,30
1763,38,10
4019,19,0
3172,47,35
4250,9,5
3011,23,15
2046,16,10
3366,37,35
3635,32,10
3513,27,30
1696,39,45
5242,23,25
453,24,25
3571,43,80
5890,13,0
4150,30,10
4298,25,0
4192,44,20
5628,34,20
4348,28,20
1528,31,10
3495,30,20
3173,38,70
2701,46,20
5836,8,0
3459,27,15
4786,35,5
4670,20,15
2564,51,30
5333,46,15
4247,32,50
4468,46,25
2714,30,10
3702,23,20
3058,36,5
4330,39,0
3316,27,20
