"","ticker.symbol","security"
"1","MJN","Mead Johnson"
"2","JCI","Johnson Controls International"
"3","FTV","Fortive Corp"
"4","TRV","The Travelers Companies Inc."
"5","ESRX","Express Scripts"
"6","DVN","Devon Energy Corp."
"7","CAH","Cardinal Health Inc."
"8","WYN","Wyndham Worldwide"
"9","HBAN","Huntington Bancshares"
"10","ED","Consolidated Edison"
"11","XEC","Cimarex Energy"
"12","NWSA","News Corp. Class A"
"13","GOOGL","Alphabet Inc Class A"
"14","NUE","Nucor Corp."
"15","EFX","Equifax Inc."
"16","FL","Foot Locker Inc"
"17","RCL","Royal Caribbean Cruises Ltd"
"18","TSS","Total System Services"
"19","DRI","Darden Restaurants"
"20","UHS","Universal Health Services, Inc."
"21","PH","Parker-Hannifin"
"22","NEM","Newmont Mining Corp. (Hldg. Co.)"
"23","MO","Altria Group Inc"
"24","FIS","Fidelity National Information Services"
"25","HP","Helmerich & Payne"
"26","KSS","Kohl's Corp."
"27","NWS","News Corp. Class B"
"28","TXN","Texas Instruments"
"29","MAR","Marriott Int'l."
"30","FBHS","Fortune Brands Home & Security"
"31","SJM","JM Smucker"
"32","AEE","Ameren Corp"
"33","CXO","Concho Resources"
"34","FAST","Fastenal Co"
"35","CNC","Centene Corporation"
"36","O","Realty Income Corporation"
"37","BLK","BlackRock"
"38","PFG","Principal Financial Group"
"39","JEC","Jacobs Engineering Group"
"40","KORS","Michael Kors Holdings"
"41","BF-B","Brown-Forman Corporation"
"42","MPC","Marathon Petroleum"
"43","WYNN","Wynn Resorts Ltd"
"44","NEE","NextEra Energy"
"45","EXR","Extra Space Storage"
"46","TJX","TJX Companies Inc."
"47","TIF","Tiffany & Co."
"48","WY","Weyerhaeuser Corp."
"49","KO","Coca Cola Company"
"50","CVX","Chevron Corp."
"51","V","Visa Inc."
"52","CMA","Comerica Inc."
"53","WMB","Williams Cos."
"54","PAYX","Paychex Inc."
"55","BXP","Boston Properties"
"56","EXPD","Expeditors Int'l"
"57","GGP","General Growth Properties Inc."
"58","RRC","Range Resources Corp."
"59","SWKS","Skyworks Solutions"
"60","REGN","Regeneron"
"61","MAT","Mattel Inc."
"62","SWK","Stanley Black & Decker"
"63","HCP","HCP Inc."
"64","IRM","Iron Mountain Incorporated"
"65","DISCK","Discovery Communications-C"
"66","DOW","Dow Chemical"
"67","AES","AES Corp"
"68","GWW","Grainger (W.W.) Inc."
"69","PEG","Public Serv. Enterprise Inc."
"70","ABBV","AbbVie"
"71","AXP","American Express Co"
"72","UNM","Unum Group"
"73","ULTA","Ulta Salon Cosmetics & Fragrance Inc"
"74","MON","Monsanto Co."
"75","SWN","Southwestern Energy"
"76","HCN","Welltower Inc."
"77","AIG","American International Group, Inc."
"78","LEN","Lennar Corp."
"79","MYL","Mylan N.V."
"80","AVY","Avery Dennison Corp"
"81","ENDP","Endo International"
"82","CTL","CenturyLink Inc"
"83","GOOG","Alphabet Inc Class C"
"84","EMR","Emerson Electric Company"
"85","VTR","Ventas Inc"
"86","CNP","CenterPoint Energy"
"87","ALL","Allstate Corp"
"88","LUK","Leucadia National Corp."
"89","VAR","Varian Medical Systems"
"90","ANTM","Anthem Inc."
"91","AEP","American Electric Power"
"92","PM","Philip Morris International"
"93","MU","Micron Technology"
"94","NLSN","Nielsen Holdings"
"95","R","Ryder System"
"96","SLG","SL Green Realty"
"97","ADI","Analog Devices, Inc."
"98","NDAQ","NASDAQ OMX Group"
"99","MCO","Moody's Corp"
"100","ACN","Accenture plc"
